나파, 92, 192
사하, 70, 173
파바, 77, 147
가타, 71, 155
하가, 55, 142
가라, 60, 152
파하, 68, 180
차타, 98, 145
라다, 87, 163
파나, 45, 148
하나, 86, 199
마가, 50, 196
나나, 71, 186
파자, 81, 172
카아, 40, 158
다라, 70, 174
타카, 90, 156
바라, 59, 179
아바, 52, 194
다타, 63, 191
다나, 85, 155
다카, 82, 177
차아, 94, 166
차아, 41, 163
사라, 90, 188
하바, 52, 175
타아, 54, 156
사다, 51, 176
라마, 92, 165
나사, 87, 186
자자, 88, 172
파사, 96, 172
아아, 65, 166
파하, 41, 170
차아, 86, 163
가사, 89, 168
차사, 87, 151
라라, 79, 170
가아, 58, 196
가하, 45, 177
사사, 99, 177
사하, 64, 174
아카, 78, 145
라라, 54, 144
가가, 92, 181
아라, 52, 146
아아, 60, 181
나아, 87, 161
마마, 75, 157
카나, 60, 186
자카, 45, 153
카타, 90, 145
카타, 51, 185
마차, 80, 143
라사, 97, 177
아다, 93, 194
마카, 85, 159
아마, 42, 169
타라, 76, 147
다사, 98, 194
차라, 63, 165
자파, 94, 147
차아, 60, 165
카다, 47, 181
카라, 72, 185
가카, 71, 198
차자, 51, 154
카자, 53, 176
다파, 95, 189
하타, 55, 160
사파, 68, 178
나카, 64, 168
라마, 51, 149
자바, 75, 146
아하, 55, 151
아라, 89, 144
바카, 97, 187
아하, 71, 186
파차, 69, 151
카가, 67, 163
나차, 54, 181
카나, 95, 158
아라, 78, 145
가마, 73, 180
바바, 77, 170
나사, 81, 182
아가, 86, 194
아바, 40, 148
사사, 99, 164
자가, 55, 146
다나, 47, 158
아타, 61, 188
카가, 64, 176
카카, 72, 168
사카, 42, 177
자라, 85, 158
타마, 46, 197
하하, 41, 166
자타, 52, 166
사나, 57, 146
하차, 60, 194
라차, 99, 169
마차, 43, 154
나자, 90, 153
아바, 50, 167
차하, 61, 175
카라, 47, 172
바하, 68, 185
차하, 79, 179
차바, 56, 186
나타, 76, 163
마아, 41, 161
라라, 55, 150
아라, 88, 186
마사, 56, 186
마하, 68, 190
타라, 45, 190
차가, 82, 167
마아, 55, 175
타하, 84, 157
마다, 76, 148
파다, 77, 167
차바, 84, 185
다사, 83, 165
아자, 99, 164
자나, 63, 150
마하, 84, 172
라나, 72, 164
아가, 46, 141
바차, 82, 193
가카, 55, 156
자차, 64, 188
카차, 94, 145
바아, 59, 193
파다, 80, 151
바카, 65, 164
자아, 50, 192
하다, 46, 198
라하, 97, 180
차타, 96, 194
라다, 68, 199
다하, 71, 174
하파, 77, 161
차아, 79, 195
라파, 94, 178
다다, 85, 156
차사, 75, 158
아차, 56, 179
다카, 69, 180
다아, 83, 199
나카, 61, 170
자아, 73, 192
마사, 69, 192
타마, 48, 162
하자, 66, 188
사자, 64, 168
가라, 96, 193
카파, 57, 158
다차, 80, 156
파파, 85, 186
다다, 97, 172
다차, 79, 155
나파, 72, 140
나마, 93, 187
바사, 62, 196
바가, 83, 157
마나, 74, 197
나파, 46, 184
카아, 49, 179
타하, 75, 165
나다, 98, 199
카가, 45, 168
사가, 46, 152
자다, 60, 142
바라, 42, 167
나나, 81, 145
바하, 94, 169
하하, 95, 194
라가, 61, 178
아하, 55, 144
사가, 73, 151
마바, 45, 159
가하, 59, 192
자나, 79, 187
바카, 89, 143
라라, 48, 142
하파, 40, 140
차자, 68, 149
파아, 49, 150
라마, 79, 181
하바, 76, 181
라마, 68, 191
라마, 43, 173
아마, 42, 184
나파, 91, 171
라하, 97, 158
마바, 93, 140
카마, 68, 165
타아, 58, 162
카다, 79, 152
라아, 90, 154
자하, 73, 198
바파, 44, 142
카가, 40, 159
가타, 62, 165
사나, 59, 182
하차, 47, 161
가카, 56, 198
자마, 99, 177
마차, 61, 162
차하, 64, 158
라마, 83, 163
파가, 90, 155
마나, 57, 174
라하, 94, 176
마차, 99, 185
차파, 43, 150
차가, 61, 191
카파, 81, 144
바자, 48, 146
가자, 44, 186
사차, 80, 163
가타, 99, 168
자가, 61, 170
차다, 66, 167
카아, 94, 161
차차, 43, 196
라마, 45, 149
가하, 92, 183
마사, 48, 189
자나, 94, 197
사아, 53, 142
타마, 83, 154
하하, 70, 194
바바, 80, 176
가자, 83, 195
마하, 50, 143
파라, 55, 178
바카, 59, 191
카마, 52, 199
바가, 95, 196
나아, 62, 163
타타, 67, 171
아라, 86, 166
파마, 58, 158
사아, 48, 177
라나, 53, 193
하아, 90, 143
다차, 64, 166
바자, 52, 170
나사, 71, 171
가자, 83, 154
바다, 78, 180
라가, 66, 184
파아, 91, 179
파마, 98, 163
마하, 82, 175
자마, 47, 189
타타, 64, 187
카바, 41, 151
파파, 48, 163
자사, 64, 142
차타, 60, 170
파자, 76, 177
하다, 98, 151
아아, 89, 153
나라, 43, 156
아차, 42, 184
카하, 69, 171
하나, 70, 186
마아, 76, 159
마차, 69, 167
타마, 65, 185
아바, 80, 164
아하, 55, 185
자다, 77, 186
파차, 61, 171
타다, 97, 187
다사, 60, 154
마라, 68, 188
다나, 61, 163
나타, 62, 176
차라, 79, 174
타마, 82, 170
파바, 93, 171
타카, 65, 185
사자, 67, 183
하나, 43, 170
마아, 78, 161
자가, 75, 149
아바, 73, 175
자아, 71, 194
파카, 53, 161
카아, 90, 153
차사, 90, 177
차자, 71, 168
타타, 96, 195
나파, 84, 146
타아, 69, 167
파라, 57, 159
파타, 55, 180
하아, 50, 143
타파, 95, 185
가마, 74, 150
사다, 88, 154
카차, 73, 154
하카, 90, 182
바나, 81, 169
아바, 89, 155
가라, 82, 154
차카, 90, 172
자마, 88, 178
파차, 74, 143
